Position time (UTC),Reception time (UTC),Latitude (°),Longitude (°),Speed (m/s),Course (°),Status,Temperature (°C)
2024-10-15 08:20:00,2024-10-15 08:20:21,43.0245,6.00486,,,1,19.1
2024-10-15 08:30:00,2024-10-15 08:31:42,43.02449,6.00438,,,1,19.2
2024-10-15 08:40:00,2024-10-15 08:40:23,43.02322,6.00381,,,1,19.3
2024-10-15 08:50:00,2024-10-15 09:00:24,43.02261,6.00371,,,1,19.6
2024-10-15 09:00:00,2024-10-15 09:00:24,43.03514,6.00272,,,1,20
2024-10-15 09:10:00,2024-10-15 09:11:40,43.03412,6.00206,,,1,19.9
2024-10-15 09:20:00,2024-10-15 09:31:00,43.03194,6.0011,,,1,20
2024-10-15 09:30:00,2024-10-15 09:31:00,43.05117,6.00184,,,1,20.4
2024-10-15 09:40:00,2024-10-15 09:42:32,43.07541,6.01186,,,1,20.6
2024-10-15 09:50:00,2024-10-15 09:51:29,43.08172,6.01147,,,1,20
2024-10-15 10:00:00,2024-10-15 10:02:27,43.08213,6.01075,,,1,19.9
2024-10-15 10:10:00,2024-10-15 10:20:30,43.0826,6.01002,,,1,19.9
2024-10-15 10:20:00,2024-10-15 10:20:30,43.08305,6.00936,,,1,19.9
2024-10-15 10:30:00,2024-10-15 10:30:36,43.08353,6.00855,,,1,19.9
2024-10-15 10:40:00,2024-10-15 10:40:39,43.08397,6.00771,,,1,19.9
2024-10-15 10:50:00,2024-10-15 10:51:30,43.08444,6.00681,,,1,19.9
2024-10-15 11:00:00,2024-10-15 11:00:39,43.08493,6.00592,,,1,19.9
2024-10-15 11:10:00,2024-10-15 11:10:30,43.08544,6.00512,,,1,19.9
2024-10-15 11:20:00,2024-10-15 11:20:36,43.08602,6.00437,,,1,19.9
2024-10-16 07:40:00,2024-10-16 07:41:04,43.10256,5.91129,,,1,18.6
2024-10-16 07:50:00,2024-10-16 07:50:22,43.08758,5.92893,,,1,18.7
2024-10-16 08:00:00,2024-10-16 08:01:01,43.07943,5.95664,,,1,18.9
2024-10-16 08:10:00,2024-10-16 08:10:40,43.06561,5.98146,,,1,19
2024-10-16 08:20:00,2024-10-16 08:20:28,43.05581,5.99441,,,1,19.2
2024-10-16 08:30:00,2024-10-16 08:30:42,43.05271,5.99377,,,1,19.3
2024-10-16 08:40:00,2024-10-16 08:41:30,43.07377,5.98171,,,1,19.3
2024-10-16 08:50:00,2024-10-16 08:50:32,43.0783,5.98189,,,1,19.5
2024-10-16 09:00:00,2024-10-16 09:00:23,43.07839,5.97943,,,1,20.1
2024-10-16 09:10:00,2024-10-16 09:11:30,43.07853,5.9773,,,1,20.1
2024-10-16 09:20:00,2024-10-16 09:21:32,43.07884,5.97513,,,1,20.1
2024-10-16 09:30:00,2024-10-16 09:30:33,43.07922,5.97299,,,1,20.1
2024-10-16 09:40:00,2024-10-16 09:40:38,43.07948,5.97088,,,1,20.2
2024-10-16 09:50:00,2024-10-16 09:51:44,43.07984,5.96883,,,1,20.1
2024-10-16 10:00:00,2024-10-16 10:01:36,43.08029,5.96674,,,1,20.1
2024-10-16 10:10:00,2024-10-16 10:12:30,43.08079,5.96485,,,1,20.2
2024-10-16 10:20:00,2024-10-16 10:20:32,43.08123,5.96292,,,1,20.2
2024-10-16 10:30:00,2024-10-16 10:30:32,43.08165,5.9609,,,1,20.1
2024-10-18 07:40:00,2024-10-18 07:40:28,43.08379,5.94822,,,1,16.7
2024-10-18 07:50:00,2024-10-18 07:50:25,43.06363,5.97259,,,1,16.7
2024-10-18 08:00:00,2024-10-18 08:00:28,43.0389,5.99199,,,1,17
2024-10-18 08:10:00,2024-10-18 08:11:36,43.02404,6.0029,,,1,16.2
2024-10-18 08:20:00,2024-10-18 08:40:36,43.02181,6.00552,,,1,16.6
2024-10-18 08:30:00,2024-10-18 08:40:36,43.01879,6.00814,,,1,16.3
2024-10-18 08:40:00,2024-10-18 08:40:36,43.03358,5.99789,,,1,17.1
2024-10-18 08:50:00,2024-10-18 08:51:35,43.03336,6.00485,,,1,16.8
2024-10-18 09:00:00,2024-10-18 09:01:32,43.03816,6.00643,,,1,17
2024-10-18 09:10:00,2024-10-18 09:10:38,43.06313,5.99467,,,1,17.3
2024-10-18 09:20:00,2024-10-18 09:20:25,43.07865,5.98442,,,1,19.8
2024-10-18 09:30:00,2024-10-18 09:40:32,43.07829,5.98453,,,1,20
2024-10-18 09:40:00,2024-10-18 09:40:32,43.07801,5.98456,,,1,20.1
2024-10-18 09:50:00,2024-10-18 10:41:42,43.07776,5.98462,,,1,20.1
2024-10-18 10:00:00,2024-10-18 10:41:42,43.07744,5.98479,,,1,20.1
2024-10-18 10:10:00,2024-10-18 10:41:42,43.07715,5.98484,,,1,20.1
2024-10-18 10:20:00,2024-10-18 10:41:42,43.07679,5.98489,,,1,20.1
2024-10-18 10:30:00,2024-10-18 10:41:42,43.07639,5.98505,,,1,20.1
2024-10-18 10:40:00,2024-10-18 10:41:42,43.07603,5.98523,,,1,20.1
